row_index,element,Te,Ne
436,Pr,7000.0,5.56e+18
437,Pt,7000.0,5.56e+18
438,Ra,7000.0,5.56e+18
439,Rb,7000.0,5.56e+18
440,Rh,7000.0,5.56e+18
441,Ru,7000.0,5.56e+18
442,S,7000.0,5.56e+18
443,Sb,7000.0,5.56e+18
444,Sc,7000.0,5.56e+18
445,Si,7000.0,5.56e+18
446,Sm,7000.0,5.56e+18
447,Sn,7000.0,5.56e+18
448,Sr,7000.0,5.56e+18
449,Ta,7000.0,5.56e+18
450,Tb,7000.0,5.56e+18
451,Tc,7000.0,5.56e+18
452,Te,7000.0,5.56e+18
453,Ti,7000.0,5.56e+18
454,Tl,7000.0,5.56e+18
455,Tm,7000.0,5.56e+18
456,V,7000.0,5.56e+18
457,W,7000.0,5.56e+18
458,Xe,7000.0,5.56e+18
459,Y,7000.0,5.56e+18
460,Yb,7000.0,5.56e+18
461,Zn,7000.0,5.56e+18
462,Ac,7000.0,6.67e+18
463,Ag,7000.0,6.67e+18
464,Al,7000.0,6.67e+18
465,Ar,7000.0,6.67e+18
466,As,7000.0,6.67e+18
467,Au,7000.0,6.67e+18
468,B,7000.0,6.67e+18
469,Ba,7000.0,6.67e+18
470,Be,7000.0,6.67e+18
471,Bi,7000.0,6.67e+18
472,Br,7000.0,6.67e+18
473,C,7000.0,6.67e+18
474,Ca,7000.0,6.67e+18
475,Cd,7000.0,6.67e+18
476,Ce,7000.0,6.67e+18
477,Cl,7000.0,6.67e+18
478,Co,7000.0,6.67e+18
479,Cr,7000.0,6.67e+18
480,Cs,7000.0,6.67e+18
481,Cu,7000.0,6.67e+18
482,Dy,7000.0,6.67e+18
483,Er,7000.0,6.67e+18
484,Eu,7000.0,6.67e+18
485,F,7000.0,6.67e+18
486,Fe,7000.0,6.67e+18
487,Fr,7000.0,6.67e+18
488,Ga,7000.0,6.67e+18
489,Gd,7000.0,6.67e+18
490,Ge,7000.0,6.67e+18
491,H,7000.0,6.67e+18
492,He,7000.0,6.67e+18
493,Hf,7000.0,6.67e+18
494,Hg,7000.0,6.67e+18
495,Ho,7000.0,6.67e+18
496,K,7000.0,6.67e+18
497,Kr,7000.0,6.67e+18
498,La,7000.0,6.67e+18
499,Li,7000.0,6.67e+18
500,Lu,7000.0,6.67e+18
501,Mg,7000.0,6.67e+18
502,Mn,7000.0,6.67e+18
503,Mo,7000.0,6.67e+18
504,N,7000.0,6.67e+18
505,Na,7000.0,6.67e+18
506,Nd,7000.0,6.67e+18
507,Ne,7000.0,6.67e+18
508,Ni,7000.0,6.67e+18
509,O,7000.0,6.67e+18
510,P,7000.0,6.67e+18
511,Pb,7000.0,6.67e+18
512,Pd,7000.0,6.67e+18
513,Pr,7000.0,6.67e+18
514,Pt,7000.0,6.67e+18
515,Ra,7000.0,6.67e+18
516,Rb,7000.0,6.67e+18
517,Rh,7000.0,6.67e+18
518,Ru,7000.0,6.67e+18
519,S,7000.0,6.67e+18
520,Sb,7000.0,6.67e+18
521,Sc,7000.0,6.67e+18
522,Si,7000.0,6.67e+18
523,Sm,7000.0,6.67e+18
524,Sn,7000.0,6.67e+18
525,Sr,7000.0,6.67e+18
526,Ta,7000.0,6.67e+18
527,Tb,7000.0,6.67e+18
528,Tc,7000.0,6.67e+18
529,Te,7000.0,6.67e+18
530,Ti,7000.0,6.67e+18
531,Tl,7000.0,6.67e+18
532,Tm,7000.0,6.67e+18
533,V,7000.0,6.67e+18
534,W,7000.0,6.67e+18
535,Xe,7000.0,6.67e+18
536,Y,7000.0,6.67e+18
537,Yb,7000.0,6.67e+18
538,Zn,7000.0,6.67e+18
539,Ac,7000.0,7.78e+18
540,Ag,7000.0,7.78e+18
541,Al,7000.0,7.78e+18
542,Ar,7000.0,7.78e+18
543,As,7000.0,7.78e+18
544,Au,7000.0,7.78e+18
545,B,7000.0,7.78e+18
546,Ba,7000.0,7.78e+18
547,Be,7000.0,7.78e+18
548,Bi,7000.0,7.78e+18
549,Br,7000.0,7.78e+18
550,C,7000.0,7.78e+18
551,Ca,7000.0,7.78e+18
552,Cd,7000.0,7.78e+18
553,Ce,7000.0,7.78e+18
554,Cl,7000.0,7.78e+18
555,Co,7000.0,7.78e+18
556,Cr,7000.0,7.78e+18
557,Cs,7000.0,7.78e+18
558,Cu,7000.0,7.78e+18
559,Dy,7000.0,7.78e+18
560,Er,7000.0,7.78e+18
561,Eu,7000.0,7.78e+18
562,F,7000.0,7.78e+18
563,Fe,7000.0,7.78e+18
564,Fr,7000.0,7.78e+18
565,Ga,7000.0,7.78e+18
566,Gd,7000.0,7.78e+18
567,Ge,7000.0,7.78e+18
568,H,7000.0,7.78e+18
569,He,7000.0,7.78e+18
570,Hf,7000.0,7.78e+18
571,Hg,7000.0,7.78e+18
572,Ho,7000.0,7.78e+18
573,K,7000.0,7.78e+18
574,Kr,7000.0,7.78e+18
575,La,7000.0,7.78e+18
576,Li,7000.0,7.78e+18
577,Lu,7000.0,7.78e+18
578,Mg,7000.0,7.78e+18
579,Mn,7000.0,7.78e+18
580,Mo,7000.0,7.78e+18
581,N,7000.0,7.78e+18
582,Na,7000.0,7.78e+18
583,Nd,7000.0,7.78e+18
584,Ne,7000.0,7.78e+18
585,Ni,7000.0,7.78e+18
586,O,7000.0,7.78e+18
587,P,7000.0,7.78e+18
588,Pb,7000.0,7.78e+18
589,Pd,7000.0,7.78e+18
590,Pr,7000.0,7.78e+18
591,Pt,7000.0,7.78e+18
592,Ra,7000.0,7.78e+18
593,Rb,7000.0,7.78e+18
594,Rh,7000.0,7.78e+18
595,Ru,7000.0,7.78e+18
596,S,7000.0,7.78e+18
597,Sb,7000.0,7.78e+18
598,Sc,7000.0,7.78e+18
599,Si,7000.0,7.78e+18
600,Sm,7000.0,7.78e+18
601,Sn,7000.0,7.78e+18
602,Sr,7000.0,7.78e+18
603,Ta,7000.0,7.78e+18
604,Tb,7000.0,7.78e+18
605,Tc,7000.0,7.78e+18
