row_index,element,Te,Ne
318,Ag,7000.0,6.67e+18
319,Al,7000.0,6.67e+18
320,Ar,7000.0,6.67e+18
321,As,7000.0,6.67e+18
322,Au,7000.0,6.67e+18
323,B,7000.0,6.67e+18
324,Ba,7000.0,6.67e+18
325,Be,7000.0,6.67e+18
326,C,7000.0,6.67e+18
327,Ca,7000.0,6.67e+18
328,Cd,7000.0,6.67e+18
329,Ce,7000.0,6.67e+18
330,Cl,7000.0,6.67e+18
331,Co,7000.0,6.67e+18
332,Cr,7000.0,6.67e+18
333,Cu,7000.0,6.67e+18
334,Dy,7000.0,6.67e+18
335,Er,7000.0,6.67e+18
336,F,7000.0,6.67e+18
337,Fe,7000.0,6.67e+18
338,Gd,7000.0,6.67e+18
339,He,7000.0,6.67e+18
340,Hg,7000.0,6.67e+18
341,Ho,7000.0,6.67e+18
342,K,7000.0,6.67e+18
343,La,7000.0,6.67e+18
344,Li,7000.0,6.67e+18
345,Lu,7000.0,6.67e+18
346,Mg,7000.0,6.67e+18
347,Mn,7000.0,6.67e+18
348,Mo,7000.0,6.67e+18
349,N,7000.0,6.67e+18
350,Na,7000.0,6.67e+18
351,Nd,7000.0,6.67e+18
352,Ni,7000.0,6.67e+18
353,O,7000.0,6.67e+18
354,P,7000.0,6.67e+18
355,Pb,7000.0,6.67e+18
356,Pr,7000.0,6.67e+18
357,Pt,7000.0,6.67e+18
358,S,7000.0,6.67e+18
359,Si,7000.0,6.67e+18
360,Sm,7000.0,6.67e+18
361,Sn,7000.0,6.67e+18
362,Sr,7000.0,6.67e+18
363,Ta,7000.0,6.67e+18
364,Tb,7000.0,6.67e+18
365,Ti,7000.0,6.67e+18
366,V,7000.0,6.67e+18
367,W,7000.0,6.67e+18
368,Y,7000.0,6.67e+18
369,Yb,7000.0,6.67e+18
370,Zn,7000.0,6.67e+18
371,Ag,7000.0,7.78e+18
372,Al,7000.0,7.78e+18
373,Ar,7000.0,7.78e+18
374,As,7000.0,7.78e+18
375,Au,7000.0,7.78e+18
376,B,7000.0,7.78e+18
377,Ba,7000.0,7.78e+18
378,Be,7000.0,7.78e+18
379,C,7000.0,7.78e+18
380,Ca,7000.0,7.78e+18
381,Cd,7000.0,7.78e+18
382,Ce,7000.0,7.78e+18
383,Cl,7000.0,7.78e+18
384,Co,7000.0,7.78e+18
385,Cr,7000.0,7.78e+18
386,Cu,7000.0,7.78e+18
387,Dy,7000.0,7.78e+18
388,Er,7000.0,7.78e+18
389,F,7000.0,7.78e+18
390,Fe,7000.0,7.78e+18
391,Gd,7000.0,7.78e+18
392,He,7000.0,7.78e+18
393,Hg,7000.0,7.78e+18
394,Ho,7000.0,7.78e+18
395,K,7000.0,7.78e+18
396,La,7000.0,7.78e+18
397,Li,7000.0,7.78e+18
398,Lu,7000.0,7.78e+18
399,Mg,7000.0,7.78e+18
400,Mn,7000.0,7.78e+18
401,Mo,7000.0,7.78e+18
402,N,7000.0,7.78e+18
403,Na,7000.0,7.78e+18
404,Nd,7000.0,7.78e+18
405,Ni,7000.0,7.78e+18
406,O,7000.0,7.78e+18
407,P,7000.0,7.78e+18
408,Pb,7000.0,7.78e+18
409,Pr,7000.0,7.78e+18
410,Pt,7000.0,7.78e+18
411,S,7000.0,7.78e+18
412,Si,7000.0,7.78e+18
413,Sm,7000.0,7.78e+18
414,Sn,7000.0,7.78e+18
415,Sr,7000.0,7.78e+18
416,Ta,7000.0,7.78e+18
417,Tb,7000.0,7.78e+18
418,Ti,7000.0,7.78e+18
419,V,7000.0,7.78e+18
420,W,7000.0,7.78e+18
421,Y,7000.0,7.78e+18
422,Yb,7000.0,7.78e+18
423,Zn,7000.0,7.78e+18
424,Ag,7000.0,8.89e+18
425,Al,7000.0,8.89e+18
426,Ar,7000.0,8.89e+18
427,As,7000.0,8.89e+18
428,Au,7000.0,8.89e+18
429,B,7000.0,8.89e+18
430,Ba,7000.0,8.89e+18
431,Be,7000.0,8.89e+18
432,C,7000.0,8.89e+18
433,Ca,7000.0,8.89e+18
434,Cd,7000.0,8.89e+18
435,Ce,7000.0,8.89e+18
436,Cl,7000.0,8.89e+18
437,Co,7000.0,8.89e+18
438,Cr,7000.0,8.89e+18
439,Cu,7000.0,8.89e+18
440,Dy,7000.0,8.89e+18
441,Er,7000.0,8.89e+18
442,F,7000.0,8.89e+18
443,Fe,7000.0,8.89e+18
444,Gd,7000.0,8.89e+18
445,He,7000.0,8.89e+18
446,Hg,7000.0,8.89e+18
447,Ho,7000.0,8.89e+18
448,K,7000.0,8.89e+18
449,La,7000.0,8.89e+18
450,Li,7000.0,8.89e+18
